source,target
100111000010111000010011111110100010000001100011010011110000000000,100101000010111000010011111110100010000001100011010010100000000000
100111000010111000010011111110100010000001100011010011110000000000,100111000000011000010011111110100000000000000001000011010000000000
001111001110111000010011111100100111111101101011111111110000000011,001111001110111000010011111100100111111001100011111111110000000000
001111001110111000010011111100100111111101101011111111110000000011,000111000010111000010011111100100111111101101011111111110000000011
101111000010111000011111111111100011000101101011111111110011011000,100111000010111000011111111111100011000001100011111111110010001000
101111000010111000011111111111100011000101101011111111110011011000,101111000010111000011111111111100011000001101011111111110011011000
101111000010111000011111111111100011000101101011111111110011011000,101111000010111000001111111010100011000001101011111111110000011000
101111000010111000011111111111100011000101101011111111110011011000,100111000010111000011111111111100011000001100011111111110011000000
101111000010111000011111111111100011010101101011111111110011011000,100111000010111000010111111111100011010001100011111111010000000000
101111000010111000011111111111100011010101101011111111110011011000,101111000010111000011111111111100011000101101011111111110011011000
101111000010111000011111111111100011010101101011111111110011011000,101111000010111000011111111111100011000101101011111111110011011000
111111111111111100011111111111101111111111101111111111110111111000,111111111111111000011111111111101111111111101111111111110111111000
111111111111111100011111111111101111111111101111111111110111111000,111111111111111100011111111111101111011111100111111111110111111000
111111111111111100011111111111101111111111101111111111110111111000,111111111111111000011111111111101111111111101111111111110111011000
111111111111111100011111111111101111111111101111111111110111111000,111111111111111000011111111111101111111111101111111111110111111000
111111111111111100011111111111101111111111101111111111110111111000,111111111111111000011111111111101111111111101111111111110111111000
100111000010111000010111111110100011010001100111111111110000001000,100101000010111000010011101110100011010001100110111111100000000000
100111000010111000010111111110100011010001100111111111110000011000,100111000010111000010111111110100011010001100111111111110000001000
000000000000000000010111111110100111010000100111111011110000000000,000000000000000000010111111110100011010000100111111011110000000000
000000000000000000010111111110100111010000100111111011110000000000,000000000000000000010111111110100111010000100101111011010000000000
000000000000000000010111111110100111010000100111111011110000000000,000000000000000000010111111110100111010000100101111011010000000000
000000000000000000010111111110100111010001100111111111110000000000,000000000000000000010111111110100111010000100111111011110000000000
000000000000000000010111111110100111010001100111111111110000000000,000000000000000000010111111110100011010001100101111101010000000000
100111000010111000010111111110100011010001100101111111010000000000,100111000010111000010111111110100011010000100001111111010000000000
100111000010111000010111111110100111010001100111111111110000000000,000000000000000000010111111110100111010001100111111111110000000000
100111000010111000010111111110100111010001100111111111110000000000,100111000010111000010111111110100011010001100101111111010000000000
101111000000011000010111111110100111010001100011111111110000000000,101111000000011000010111111110100111000001100011111111110000000000
101111000000011000010111111110100111010001100011111111110000000000,101111000000011000010011111110100111010001100011111101110000000000
000100000010111000010011111100000000000000000000000000000000000000,000100000010111000010011101100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000100000010111000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000100000010111000010011111100000000000000000000000000000000000000
000100000010111000010011111100000000000000000000000000000000000000,000100000010111000010011001100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000100000010111000010011111100000000000000000000000000000000000000
000000000010111000010011111100000000000000000000000000000000000000,000000000010111000010010111000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000100000010111000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010011111000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010110000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010001111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000000000000000000010000000000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000000111000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000000011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010110000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010011111000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010011111000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010011111000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010110000010011111000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010110000010011111000000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010010111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010110000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010110000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010011110100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010111000010010111100000000000000000000000000000000000000
