source,target
00000000000111111110010100010011000000001100010100000000000000000000000000000111110111000111111110111011111101111111110111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000110110110000000010001000000000000000000000000000000000000000000000111010100000111000110000011111101111111100001100000000110010001000000000010100110100011010001110110010100000000000000010
00000000000111111110010100010011000000001100010100000000000000000000000000000111110111000111111110111011111101111111110111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00011000000111111110010110010010000000001100110101100000000000000000000000000111111111000111111110110011111101111101111110101001111111111111110111011111110111100111110111111111011110111101000000110,00011000000101111110010110010010000000001100110101100000000000000000000000000111111111000111111110110011110101111101111110101001111111111111110111011111110111100111110111111111011110111101000000110
00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110110101001111111111111010111111111110111100111110111111111111111111001110000010,00000000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110110101001111111111111010111111111110111100111110111111111111111111001110000010
00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110110101001111111111111010111111111110111100111110111111111111111111001110000010,00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110101011111101111101110110101001111111111111010111111111110111100111110111111111111111111001110000010
00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101111111101001111111111111010111111111110111100111110111111111111111111001110000010,00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110110101001111111111111010111111111110111100111110111111111111111111001110000010
00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101111111101001111111111111010111111111110111100111110111111111111111111001110000010,00000000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110111101001111111111111010111111111110111100111110111111111111111111001110000010
00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101111111101001111111111111010111111111110111100111110111111111111111111001110000010,00000000000110111110010100111110000000000100010101000000000000000000000000000111111001000111111110100011111101111101111111101001111111111111010111111111110111100111110111111111111110101001110000010
00011000000111111110010100111110000000000100010101000010000000000000000000000111111111000111111110111011111101111101111111111001111111111111010111111111110111100111110111111111111111111001110000110,00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110111111001111111111111010111111111110111100111110111111111111111111001110000110
00011000000111111110010100111110000000000100010101000010000000000000000000000111111111000111111110111011111101111101111111111001111111111111010111111111110111100111110111111111111111111001110000110,00000000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110101011111101111101110111101001111111111111010111111111110111100111110111111111111111111001110000010
00011000000111111110010100111110000000000100010101000010000000000000000000000111111111000111111110111011111101111101111111111001111111111111010111111111110111100111110111111111111111111001110000110,00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110111111001111111111111010111111111110111100111110111111111111111111001110000110
00011000000111111110010100111110000000000100010101000010000000000000000000000111111111000111111110111011111101111101111111111001111111111111010111111111110111100111110111111111111111111001110000110,00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101110111111001111111111111010111111111110111100111110111111111111111111001110000110
00011000000111111110010100111110000000000100010101000010000000000000000000000111111111000111111110111011111101111101111111111001111111111111010111111111110111100111110111111111111111111001110000110,00011000000111111110010100111110000000000100010101000010000000000000000000000111111111000111111110110011111101111101111111101001111111111111010111111111110111100111110111111111111110111001110000110
00011000000111111110010100111110000000000100010101000010000000000000000000000111111111000111111110111011111101111101111111111001111111111111010111111111110111100111110111111111111111111001110000110,00010000000111111110010100111110000000000100010101000000000000000000000000000111111111000111111110111011111101111101111111101001111111111111010111111111110111100111110111111111111111111001110000010
00010000000111111110010100111110000000000100010101100000000000000000000000000111010111000111111010111111111101111101110111101001111110111111110111111111110111110111110111111111111111111101110000010,00010000000111111110010100111110000000000100010101100000000000000000000000000111010111000111111010111111111101111101110111101001111110111111110111011111110111100111110111111111111111111101110000010
00010000000111111110010100111110000000000100010101100000000000000000000000000111010111000111111010111111111101111101110111101001111110111111110111111111110111110111110111111111111111111101110000010,00010000000111111110010100010010000000000100010101100000000000000000000000000111010111000111111010110111111101111101110110101001111110111111110111111111110111110111110111111111111111111001110000010
